时间,沪深300,中证500,万得全A,中债-综合财富(总值)指数,中债-总财富(总值)指数
2004-12-31,1000,1000,773.1392,105.338,102.135
2005-1-4,982.794,986.927,760.8923,105.326,101.955
2005-1-5,992.564,1003.633,770.8937,105.776,102.362
2005-1-6,983.174,994.595,763.804,105.429,101.615
2005-1-7,983.958,997.606,765.6346,105.576,101.675
2005-1-10,993.879,1006.337,772.756,105.533,101.712
2005-1-11,997.135,1008.343,775.2446,105.642,101.996
2005-1-12,996.748,1008.62,774.7617,105.622,101.998
2005-1-13,996.877,1013.07,775.9586,105.484,101.887
2005-1-14,988.306,1000.169,767.3533,105.906,102.204
2005-1-17,967.452,977.522,749.7836,106.146,102.332
2005-1-18,974.689,991.419,757.6103,106.045,102.076
2005-1-19,967.21,986.241,752.702,106.099,102.209
2005-1-20,956.245,972.463,742.4964,106.133,102.234
2005-1-21,982.604,988.519,758.3659,106.196,102.381
2005-1-24,998.133,1008.175,772.3148,106.347,102.629
2005-1-25,997.775,999.553,769.27,106.269,102.459
2005-1-26,989.928,987.955,762.047,106.245,102.359
2005-1-27,974.631,971.373,749.8383,106.27,102.359
2005-1-28,969.209,952.413,740.1365,106.462,102.611
2005-1-31,954.879,922.653,722.1686,106.571,102.688
2005-2-1,955.951,913.331,718.0449,106.593,102.641
2005-2-2,1006.913,964.243,757.0551,106.59,102.707
2005-2-3,993.215,945.312,744.495,106.769,102.721
2005-2-4,1016.858,962.028,759.6613,106.982,102.896
2005-2-16,1023.584,972.337,766.347,107.249,103.536
2005-2-17,1020.606,977.272,766.9438,107.202,103.36
2005-2-18,1006.055,964.769,756.9169,107.343,103.451
2005-2-21,1025.633,981.819,770.9576,107.28,103.233
2005-2-22,1046.744,1007.688,789.6359,107.27,103.146
2005-2-23,1043.944,1019.258,793.19,107.272,103.931
2005-2-24,1045.46,1024.446,795.1713,107.425,103.273
2005-2-25,1046.761,1024.118,796.163,107.815,103.72
2005-2-28,1039.989,1020.847,793.1298,107.382,103.813
2005-3-1,1035.934,1021.162,792.0468,107.57,103.614
2005-3-2,1021.32,1006.148,780.6848,107.468,103.63
2005-3-3,1027.71,1011.288,784.8849,107.409,103.467
2005-3-4,1023.667,1003.21,780.4458,107.527,103.532
2005-3-7,1029.871,1006.953,784.1156,107.721,103.623
2005-3-8,1048.987,1029.457,799.5666,107.68,103.497
2005-3-9,1046.544,1032.55,800.0078,107.662,103.656
2005-3-10,1022.413,1005.545,780.6124,107.784,103.845
2005-3-11,1027.429,1009.434,784.4788,107.899,104.015
2005-3-14,1031.026,1007.766,784.0196,108.023,104.07
2005-3-15,1013.523,993.831,772.0835,108.008,104.105
2005-3-16,1003.065,983.916,764.8879,108.139,104.156
2005-3-17,992.863,970.966,756.1348,108.501,104.654
2005-3-18,978.665,949.509,742.2451,108.59,104.914
2005-3-21,981.893,949.553,743.5502,108.598,104.921
2005-3-22,964.024,922.564,725.8207,108.521,104.745
2005-3-23,959.01,923.194,722.9268,108.529,104.616
2005-3-24,964.801,933.347,728.799,108.615,104.79
2005-3-25,962.955,931.417,727.3224,108.55,104.769
2005-3-28,960.696,922.923,723.1392,108.614,104.793
2005-3-29,955.19,916.811,718.8735,108.746,104.875
2005-3-30,937.034,888.949,701.0265,109.132,104.915
